,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
194,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,110,Monit x termografia (4) de polea 660H,TEC-PRD,PM01,1.0,0.5,MFAJ032P1110,,
195,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,120,Monit x vibracion de rodam d polea 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P1120,,
196,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,130,Monit x termografia d polea tensora 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P1130,,
197,M1,INSP_MEC_BOMBA_SULZER A53-300,TEC-MEC,MBOM115,MBOM115M1,10,Insp mantto de acople de bomba 2000H,TEC-MEC,PM01,1.0,1.0,MBOM115M110,,
198,M1,INSP_MEC_BOMBA_SULZER A53-300,TEC-MEC,MBOM115,MBOM115M1,20,Prueba de eficiencia de carcasa 8000H,TEC-MEC,PM01,2.0,0.5,MBOM115M120,,
199,M1,INSP_MEC_BOMBA_SULZER A53-300,TEC-MEC,MBOM115,MBOM115M1,30,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,0.8,MBOM115M130,,
200,M3,LUBR_MEC_BOMBA_SULZER A53-300,TEC-MEC,MBOM115,MBOM115M3,10,Lubric con grasa caja rodamientos 12000h,TEC-MEC,PM01,2.0,0.5,MBOM115M310,2518155,0.1
201,E1,INSP_ELE_BOMBA_SULZER A53-300,TEC-ELE,MBOM115,MBOM115E1,10,Inspeccion general motor 1M,TEC-ELE,PM01,2.0,1.0,MBOM115E110,,
202,E2,PREV_ELE_BOMBA_SULZER A53-300,TEC-ELE,MBOM115,MBOM115E2,10,Mtto menor de motor de bomba 2000H,TEC-ELE,PM01,2.0,1.0,MBOM115E210,,
203,E2,PREV_ELE_BOMBA_SULZER A53-300,TEC-ELE,MBOM115,MBOM115E2,20,Mtto preventivo variador velocidad 8000H,TEC-ELE,PM01,2.0,2.0,MBOM115E220,,
204,E2,PREV_ELE_BOMBA_SULZER A53-300,TEC-ELE,MBOM115,MBOM115E2,30,Mtto general motor 8000H,TEC-ELE,PM01,2.0,5.0,MBOM115E230,,
205,E3,LUBR_ELE_BOMBA_SULZER A53-300,TEC-ELE,MBOM115,MBOM115E3,10,Lubricacion de motor de bomba 12000h,TEC-ELE,PM01,2.0,0.5,MBOM115E310,2530833,0.1
206,I1,INSP_INS_BOMBA_SULZER A53-300,TEC-INS,MBOM115,MBOM115I1,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM115I110,,
207,I2,PREV_INS_BOMBA_SULZER A53-300,TEC-INS,MBOM115,MBOM115I2,10,Mtto de instrumentos de bomba 8000H,TEC-INS,PM01,2.0,2.0,MBOM115I210,,
208,I2,PREV_INS_BOMBA_SULZER A53-300,TEC-INS,MBOM115,MBOM115I2,20,Contrast. y/o ajuste transmisores 4000H,TEC-INS,PM01,2.0,2.0,MBOM115I220,,
209,P1,PRED_CON_BOMBA_SULZER A53-300,TEC-PRD,MBOM115,MBOM115P1,10,Monitoreo de vibracion de motor 1500H,TEC-PRD,PM01,1.0,1.0,MBOM115P110,,
210,P1,PRED_CON_BOMBA_SULZER A53-300,TEC-PRD,MBOM115,MBOM115P1,20,Monitoreo de termografia de motor 1500H,TEC-PRD,PM01,1.0,0.5,MBOM115P120,,
211,P1,PRED_CON_BOMBA_SULZER A53-300,TEC-PRD,MBOM115,MBOM115P1,30,Monit x vibracion caja rodamientos 1500H,TEC-PRD,PM01,1.0,0.3,MBOM115P130,,
212,P1,PRED_CON_BOMBA_SULZER A53-300,TEC-PRD,MBOM115,MBOM115P1,40,Monit temperat rodamientos bomba 1500H,TEC-PRD,PM01,1.0,0.3,MBOM115P140,,
213,M1,INSP_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M1,10,Inspecc vibracion y temp d turbina 1500H,TEC-MEC,PM01,1.0,1.0,MFIL011M110,,
214,M1,INSP_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M1,20,Inspeccion general filtro 660H,TEC-MEC,PM01,2.0,8.8,MFIL011M120,,
