,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
87,M4,INSP_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M4,10,Inspeccion anual de tanque 1A,TEC-MEC,PM01,3.0,4.0,MTAN005M410,,
88,M4,INSP_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M4,20,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,3.5,MTAN005M420,,
89,M5,PREV_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M5,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,6.0,MTAN005M510,,
90,I3,INSP_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I3,10,Inspeccion instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN005I310,,
91,I4,PREV_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I4,10,Mtto de instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN005I410,,
92,I4,PREV_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I4,20,Contrastacion transmisores tanque 6M,TEC-INS,PM01,2.0,1.0,MTAN005I420,,
93,M4,INSP_MEC_TANQU_ TANQ-PLAST,TEC-MEC,MTAN007,MTAN007M4,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.8,MTAN007M410,,
94,M5,PREV_MEC_TANQU_ TANQ-PLAST,TEC-MEC,MTAN007,MTAN007M5,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN007M510,,
95,I3,INSP_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I3,10,Inspeccion d instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN007I310,,
96,I4,PREV_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I4,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN007I410,,
97,I4,PREV_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I4,20,Contrastacion instrum transmisores 6M,TEC-INS,PM01,2.0,1.0,MTAN007I420,,
98,M4,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M4,10,Insp general agitador (impulsor) 1A,TEC-MEC,PM01,1.0,0.5,MTAN004M410,,
99,M4,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M4,20,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.8,MTAN004M420,,
100,M5,PREV_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M5,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN004M510,,
101,M6,LUBR_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M6,10,Lub sist motriz mecanismo agitador 6M,TEC-MEC,PM01,2.0,0.5,MTAN004M610,,
102,E5,PREV_ELE_TANQU_ TANQ-AGI,TEC-ELE,MTAN004,MTAN004E5,10,Mtto general sistema motriz 1A,TEC-ELE,PM01,2.0,3.0,MTAN004E510,,
103,I3,INSP_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I3,10,Inspeccion de instrumentos d tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN004I310,,
104,I4,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I4,10,Mtto de instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN004I410,,
105,I4,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I4,20,Contrastacion transmisores tanque 6M,TEC-INS,PM01,2.0,1.0,MTAN004I420,,
106,P2,PRED_CON_TANQU_ TANQ-AGI,TEC-PRD,MTAN004,MTAN004P2,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,1.0,MTAN004P210,,
107,M4,INSP_MEC_TANQU_ TANQ-CARB-MC,TEC-MEC,MTAN011,MTAN011M4,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN011M410,,
108,M5,PREV_MEC_TANQU_ TANQ-CARB-MC,TEC-MEC,MTAN011,MTAN011M5,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN011M510,,
109,I3,INSP_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I3,10,Inspeccion de instrumentos d tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN011I310,,
110,I4,PREV_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I4,10,Mtto de instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN011I410,,
111,I4,PREV_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I4,20,Contrastacion transmisores tanque 6M,TEC-INS,PM01,2.0,1.0,MTAN011I420,,
112,P2,PRED_CON_TANQU_ TANQ-CARB-MC,TEC-PRD,MTAN011,MTAN011P2,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,3.0,MTAN011P210,,
