key_dutie,Resource Type,Cod. Material,Cantidad
3231-FE-315|03-03-02,Materials,3045554,2
3231-FE-315|03-04-02,Materials,3045555,4
3231-FE-315|02-01-02,Materials,3041956,1
3231-FE-315|05-02-03,Materials,3045557,2
3231-FE-315|05-03-03,Materials,3045558,2
3231-FE-315|05-04-02,Materials,3045559,2
3231-FE-315|01-02-04,Materials,3045551,1
3231-FE-315|02-02-04,Materials,3045547,1
3231-FE-315|02-03-04,Materials,3045548,1
3231-FE-315|02-02-03,Materials,3045549,2
3231-FE-315|02-03-03,Materials,3045550,2
3231-FE-316|01-03-02,Materials,2530835,0.1
3231-FE-316|03-01-02,Materials,3045552,12
3231-FE-316|03-02-02,Materials,3045553,4
3231-FE-316|03-03-02,Materials,3045554,2
3231-FE-316|03-04-02,Materials,3045555,4
3231-FE-316|02-01-02,Materials,3041956,1
3231-FE-316|05-02-03,Materials,3045557,2
3231-FE-316|05-03-03,Materials,3045558,2
3231-FE-316|05-04-02,Materials,3045559,2
3231-FE-316|01-02-04,Materials,3045551,1
3231-FE-316|02-02-04,Materials,3045547,1
3231-FE-316|02-03-04,Materials,3045548,1
3231-FE-316|02-02-03,Materials,3045549,2
3231-FE-316|02-03-03,Materials,3045550,2
2244-PU-215|01-01-09,Materials,2530835,0.018
2244-PU-215|02-01-01,Materials,3040109,2
2244-PU-215|02-01-01,Materials,3040103,1
2244-PU-215|02-01-04,Materials,2530833,0.48
2244-PU-215|02-02-01,Materials,3040107,1
2244-PU-215|02-02-01,Materials,3040108,1
2244-PU-215|02-03-03,Materials,2523928,1
2244-PU-215|02-03-03,Materials,2523929,1
2244-PU-215|02-03-03,Materials,2523925,1
2244-PU-215|02-04-01,Materials,3040110,1
2244-PU-215|02-05-01,Materials,3040111,1
2244-PU-215|02-05-01,Materials,3040112,1
2244-PU-215|02-06-02,Materials,3040101,4
2246-PU-277|01-01-10,Materials,2530835,0.068
2246-PU-277|02-01-02,Materials,3040116,2
2246-PU-277|02-01-02,Materials,3040130,1
2246-PU-277|02-01-04,Materials,2530833,0.75
2246-PU-277|02-02-01,Materials,3040140,1
2246-PU-277|02-02-01,Materials,3040128,1
2246-PU-277|02-03-03,Materials,2523934,1
2246-PU-277|02-03-03,Materials,2523938,1
2246-PU-277|02-04-01,Materials,3040129,1
2246-PU-277|02-05-02,Materials,3040096,4
2249-PU-225|02-01-02,Materials,3040123,2
2249-PU-225|02-01-02,Materials,3040127,1
2249-PU-225|02-01-04,Materials,2530833,0.17
2249-PU-225|02-02-01,Materials,3040076,1
2249-PU-225|02-03-03,Materials,2523931,1
2249-PU-225|02-03-03,Materials,2523932,1
2249-PU-225|02-03-03,Materials,2523933,1
2249-PU-225|02-04-01,Materials,3040124,1
2249-PU-225|02-05-02,Materials,3040125,4
2253-PU-212|01-01-10,Materials,2530835,0.07
2253-PU-212|02-01-02,Materials,3040116,2
2253-PU-212|02-01-02,Materials,3040130,1
2253-PU-212|02-01-04,Materials,2530833,1.2
2253-PU-212|02-02-01,Materials,3040140,1
2253-PU-212|02-02-01,Materials,3040128,1
2253-PU-212|02-03-03,Materials,2523922,1
2253-PU-212|02-03-03,Materials,2523923,1
2253-PU-212|02-03-03,Materials,2523938,1
2253-PU-212|02-05-02,Materials,3040096,4
2261-PU-296|01-01-10,Materials,2530835,0.08
2261-PU-296|02-01-02,Materials,3040095,1
2261-PU-296|02-01-04,Materials,2530833,0.85
2261-PU-296|02-02-01,Materials,3040104,1
2261-PU-296|02-03-03,Materials,2523921,1
2261-PU-296|02-04-01,Materials,3040093,1
2261-PU-296|02-05-01,Materials,3040105,1
2261-PU-296|02-05-01,Materials,3040106,1
2261-PU-296|02-06-02,Materials,3040118,4
2265-PU-241|02-01-02,Materials,3043024,1
2265-PU-241|02-01-04,Materials,3043023,1
2265-PU-241|02-01-04,Materials,3043022,1
2265-PU-241|02-01-04,Materials,3043021,1
2265-PU-241|02-02-01,Materials,3043020,1
2265-PU-241|02-02-01,Materials,3043025,1
3241-PU-301|02-01-03,Materials,3040356,1
3241-PU-301|02-01-04,Materials,3040352,1
3241-PU-301|02-01-04,Materials,3040354,1
3241-PU-301|02-02-04,Materials,3040358,1
3241-PU-301|02-02-04,Materials,3040361,3
3241-PU-301|02-02-04,Materials,3040359,1
3241-PU-301|02-02-04,Materials,3040360,1
3241-PU-301|02-02-04,Materials,3040362,1
3241-PU-301|02-02-04,Materials,3040363,2
3241-PU-301|02-02-04,Materials,3040357,1
3241-PU-301|02-02-06,Materials,2518155,0.065
3241-PU-301|02-03-02,Materials,3040364,1
3241-PU-301|02-04-01,Materials,3040355,1
3252-PU-324|01-01-09,Materials,2530835,0.08
3252-PU-324|02-01-03,Materials,3040335,1
3252-PU-324|02-02-04,Materials,3040323,1
3252-PU-324|02-02-04,Materials,3040324,1
3252-PU-324|02-02-04,Materials,3040325,1
3252-PU-324|02-02-04,Materials,3040326,3
3252-PU-324|02-02-04,Materials,3040327,1
3252-PU-324|02-02-04,Materials,3040328,1
3252-PU-324|02-02-04,Materials,3040329,1
3252-PU-324|02-02-04,Materials,3040330,2
3252-PU-324|02-02-06,Materials,2518155,0.1
3252-PU-324|02-03-02,Materials,3040332,1
3253-PU-326|01-01-09,Materials,2530835,0.08
3253-PU-326|02-01-03,Materials,3040337,1
3253-PU-326|02-02-04,Materials,3040338,1
3253-PU-326|02-02-04,Materials,3040324,1
3253-PU-326|02-02-04,Materials,3040339,1
3253-PU-326|02-02-04,Materials,3040326,3
3253-PU-326|02-02-04,Materials,3040327,1
3253-PU-326|02-02-04,Materials,3040328,1
3253-PU-326|02-02-04,Materials,3040329,1
