Asset tag,key_system,System
2244-SA-207,2244-SA-207|01,
2246-FC-241,2246-FC-241|01,
2246-FC-241,2246-FC-241|02,
2246-PU-277,2246-PU-277|01,
2246-PU-277,2246-PU-277|02,
2246-PU-277,2246-PU-277|03,
2246-PU-288,2246-PU-288|01,
2246-PU-288,2246-PU-288|02,
2246-PU-288,2246-PU-288|03,
2246-SA-210,2246-SA-210|01,
2248-AN-201,2248-AN-201|01,
2248-AN-201,2248-AN-201|02,
2248-PU-225,2248-PU-225|01,
2248-PU-225,2248-PU-225|02,
2248-PU-225,2248-PU-225|03,
2248-XM-226,2248-XM-226|01,
2252-ML-202,2252-ML-202|01,
2252-ML-202,2252-ML-202|02,
2252-ML-202,2252-ML-202|03,
2252-ML-202,2252-ML-202|04,
2252-ML-202,2252-ML-202|05,
2252-ML-202,2252-ML-202|06,
2252-ML-202,2252-ML-202|07,
2252-ML-202,2252-ML-202|08,
2252-ML-202,2252-ML-202|09,
2253-PU-212,2253-PU-212|01,
2253-PU-212,2253-PU-212|02,
2253-PU-212,2253-PU-212|03,
2255-BN-211,2255-BN-211|01,
2255-BN-211,2255-BN-211|02,
2259-PU-237,2259-PU-237|01,
2259-PU-237,2259-PU-237|02,
2259-PU-237,2259-PU-237|03,
2261-PU-217,2261-PU-217|01,
2261-PU-217,2261-PU-217|02,
2261-PU-217,2261-PU-217|03,
2261-PU-296,2261-PU-296|01,
2261-PU-296,2261-PU-296|02,
2261-PU-296,2261-PU-296|03,
2261-SA-209,2261-SA-209|01,
2261-SC-201,2261-SC-201|01,
2261-TH-202,2261-TH-202|01,
2261-TH-202,2261-TH-202|02,
2261-TH-202,2261-TH-202|03,
2261-TH-202,2261-TH-202|04,
2261-TH-202,2261-TH-202|05,
2261-TK-265,2261-TK-265|01,
2261-TK-265,2261-TK-265|02,
2262-CP-203,2262-CP-203|01,
2262-CP-203,2262-CP-203|02,
2262-CP-203,2262-CP-203|03,
2262-CP-203,2262-CP-203|04,
2262-CP-204,2262-CP-204|01,
2262-CP-204,2262-CP-204|02,
2262-CP-204,2262-CP-204|03,
2262-CP-204,2262-CP-204|04,
2262-CP-205,2262-CP-205|01,
2262-CP-205,2262-CP-205|02,
2262-CP-205,2262-CP-205|03,
2262-CP-205,2262-CP-205|04,
2262-CP-210,2262-CP-210|01,
2262-CP-210,2262-CP-210|02,
2262-CP-210,2262-CP-210|03,
2262-CP-210,2262-CP-210|04,
2262-PU-219,2262-PU-219|01,
2262-PU-219,2262-PU-219|02,
2262-PU-219,2262-PU-219|03,
2262-PU-220,2262-PU-220|01,
2262-PU-220,2262-PU-220|02,
2262-PU-220,2262-PU-220|03,
2262-PU-221,2262-PU-221|01,
2262-PU-221,2262-PU-221|02,
2262-PU-221,2262-PU-221|03,
2262-PU-222,2262-PU-222|01,
2262-PU-222,2262-PU-222|02,
2262-PU-222,2262-PU-222|03,
2262-TK-206,2262-TK-206|01,
2262-TK-206,2262-TK-206|02,
2262-TK-206,2262-TK-206|03,
2262-TK-217,2262-TK-217|01,
2262-TK-217,2262-TK-217|02,
2262-TK-217,2262-TK-217|03,
2263-FL-201,2263-FL-201|01,
